GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,ADF001,ADI001,ADI002,ADJ001,ADJ002,ADK001,ADK002,ADK003,ADK004,ADK005,ADK006,ADK007,ADM001,ADM002,ADM003,ADM004,ADM005,ADM006,ADM007,ADM008,ADM009,ADM010,ADM011,ADM012,ADM013,ADM014,ADM015,ADM016,ADM017,ADM018,ADM019,ADM020,ADM021,ADM022,ADM023,ADM024,ADM025,ADM026,ADM027,ADM028,ADM029,ADM030
"G0100890","1850","Alabama","010","Madison","0890","Madison",1080,165024,163982,3276203,153589,5252,1830,5151,2261,8572,11463,63080,7723,581,1195037,163074,7710,17548,20888,21018,36355,20796,80535,442,27,0,139676,969,4942,38,196,45,0,0,200,10,3,53,0,0,0,12139
"G0100910","1850","Alabama","010","Marengo","0910","Marengo",818,174097,246556,3604083,178880,3435,3402,5329,1824,10030,7752,59741,215,65,1242460,94540,14550,0,32295,15908,1410,0,261080,0,0,0,131460,0,1,0,0,0,0,0,0,0,0,0,0,175,0,1420
"G0100930","1850","Alabama","010","Marion","0930","Marion",573,30018,84149,265408,38723,1908,212,3227,988,6256,4424,24304,3761,101,91495,20466,7825,2821,1552,9222,2280,994,39648,0,0,0,58426,1050,0,0,0,0,0,0,0,0,0,0,0,15,0,11729
"G0100950","1850","Alabama","010","Marshall","0950","Marshall",586,27826,34389,416170,38758,1564,296,2293,640,3859,2919,22462,961,66,357201,30338,2681,8462,1966,5818,3387,5082,33240,0,0,0,49979,686,7,0,30,0,0,0,100,0,0,20,0,0,0,10022
"G0100970","1850","Alabama","010","Mobile","0970","Mobile",249,5152,39544,495660,23530,947,316,2401,217,6771,976,5141,0,0,34500,2260,90402,0,0,864,2457,13509,44720,0,0,85,26705,1770,606,0,0,7,0,0,0,0,0,0,0,0,0,620
"G0100990","1850","Alabama","010","Monroe","0990","Monroe",692,67188,191523,842285,77910,1856,949,4580,1176,10906,7988,35290,1753,136,409506,20375,100031,1670,6977,12115,14141,2445,140935,5,0,0,49875,339,35,0,0,22,0,0,0,0,0,0,2,0,1880,31516
"G0101010","1850","Alabama","010","Montgomery","1010","Montgomery",962,203045,284804,2864322,212495,3747,3283,6863,1830,3885,12203,69948,1795,637,1265645,191853,156539,0,25326,26043,39622,7396,293488,0,0,1,130546,0,11,0,0,0,0,0,0,0,0,0,20,0,161,37592
"G0101030","1850","Alabama","010","Morgan","1030","Morgan",584,64123,102821,893597,64174,2852,478,3284,1009,6658,5964,31839,1533,4615,464440,56346,1960,3252,4777,9679,13511,4647,43115,231,60,0,75909,500,470,2,0,0,0,0,0,0,0,0,0,0,0,4759
"G0101050","1850","Alabama","010","Perry","1050","Perry",1006,159822,207448,2618994,199184,2945,2965,5577,1288,7776,9014,46022,7375,341,934116,67870,160,0,24524,17994,28202,598,184616,205,0,0,108454,0,3908,0,0,0,0,0,0,0,0,0,0,0,200,19379
"G0101070","1850","Alabama","010","Pickens","1070","Pickens",1438,147014,235883,1778547,157453,3808,1798,5918,1784,11388,12439,50478,10613,134,868705,54078,32614,642,12305,21398,12012,1695,157537,0,0,0,118707,100,53,0,0,0,0,0,0,0,0,0,0,0,0,11761
"G0101090","1850","Alabama","010","Pike","1090","Pike",1533,93431,165234,963742,115611,3207,553,6315,1856,9545,7245,50657,5986,120,531192,41323,72310,271,8679,11803,13408,2184,151657,0,0,0,63733,0,0,0,0,0,0,0,0,0,0,0,0,0,830,49465
"G0101110","1850","Alabama","010","Randolph","1110","Randolph",969,41477,111572,607907,51943,2105,386,3701,1445,7777,7078,33380,18212,223,319183,35250,7185,3609,1986,11223,5682,3986,60930,98,3,7,106953,986,20,0,0,0,0,0,75,1,10,0,0,0,3,18299
"G0101130","1850","Alabama","010","Russell","1130","Russell",1049,148947,223857,1724187,152285,2466,2089,5752,1567,14494,7174,43109,16425,558,683164,97450,119150,5,21088,10912,49138,4029,181651,28,10,50,72131,1175,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0101150","1850","Alabama","010","St Clair","1150","St Clair",573,31841,71879,377090,44991,1816,273,2599,694,3891,4556,23854,4424,7,283377,22913,5796,7374,1434,8096,8500,2967,38054,8,0,0,64442,233,0,0,0,0,0,0,0,0,0,0,0,0,0,18991
"G0101170","1850","Alabama","010","Shelby","1170","Shelby",693,51402,107147,646448,67126,2329,549,4227,1118,5973,5188,31323,12944,288,384389,51909,638,3633,3737,10837,18998,5537,67763,23,5,0,131743,225,2,0,0,0,0,0,0,0,0,0,0,0,0,28184
"G0101190","1850","Alabama","010","Sumter","1190","Sumter",668,154785,187816,1780640,136937,3200,2166,5588,2399,10443,9497,49506,7162,537,926826,62359,13340,100,14066,14741,6723,4887,182007,6,0,0,98089,586,278,0,0,0,0,0,40,0,0,0,0,0,0,17634
"G0101210","1850","Alabama","010","Talladega","1210","Talladega",998,96999,182645,1607153,113811,2656,1469,4968,1575,8884,9445,42496,7277,135,715584,114550,3316,878,8509,16755,23783,4817,115105,5,0,0,117472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7663
"G0101230","1850","Alabama","010","Tallapoosa","1230","Tallapoosa",1270,76207,194950,1017801,86192,2591,789,4396,1658,8832,9367,35298,17800,192,462276,60423,32001,1775,6589,15352,22738,4040,102371,154,0,0,94099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41007
"G0101250","1850","Alabama","010","Tuscaloosa","1250","Tuscaloosa",1115,97833,241605,1087655,136114,2784,1462,5157,1916,10345,10225,38842,3270,282,626452,50271,18748,1080,73561,16329,27729,3060,114035,16,0,0,84543,196,1902,0,0,0,0,0,0,0,0,0,0,0,0,19453
"G0101270","1850","Alabama","010","Walker","1270","Walker",609,19831,44905,244154,25909,1149,108,2019,731,3441,3351,23126,831,0,202476,7073,711,4745,592,6124,5887,761,27806,0,0,0,48265,610,0,0,0,0,0,0,0,0,1,0,0,0,8604,5087
"G0101290","1850","Alabama","010","Washington","1290","Washington",141,12001,45110,176521,15056,639,259,4055,382,8737,2214,11247,52,3,101483,934,44300,193,988,3158,3077,1334,35339,0,0,0,14479,60,9,0,0,0,0,0,0,0,0,0,0,0,0,3451
"G0101310","1850","Alabama","010","Wilcox","1310","Wilcox",666,111004,265610,2007575,110599,2615,2115,4291,1387,10172,9836,49846,535,91,673446,49860,87645,0,18709,7243,2205,2100,131975,0,0,0,52035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2057
"G0500010","1850","Arkansas","050","Arkansas","0010","Arkansas",153,12193,38416,552681,27436,577,348,1738,393,5509,365,14042,40,0,116535,724,180,750,3769,785,4204,1451,10712,0,0,0,14297,725,136,0,0,0,0,0,0,0,0,0,0,0,0,8457
"G0500030","1850","Arkansas","050","Ashley","0030","Ashley",173,7526,13613,148285,24196,400,136,813,275,137,227,9204,535,14,65787,1083,3580,42130,689,526,2487,1957,14979,0,0,0,13330,0,0,0,2,0,0,0,0,0,0,0,0,0,0,526
"G0500070","1850","Arkansas","050","Benton","0070","Benton",295,12267,22372,214196,17596,1207,220,1217,697,1825,2533,9371,12405,533,144385,26240,0,0,0,4154,0,2836,2946,0,0,0,34101,0,276,0,0,0,0,0,0,0,0,0,0,0,0,100
"G0500110","1850","Arkansas","050","Bradley","0110","Bradley",303,15157,35237,291874,32695,779,157,1462,452,2850,971,16504,155,9,145865,7775,4370,80,1425,1916,12615,2227,36746,3,0,0,19099,0,0,0,0,0,0,0,100,5,1,0,0,0,0,787
"G0500150","1850","Arkansas","050","Carroll","0150","Carroll",541,13387,12849,178739,19929,1941,118,2215,1173,3186,3910,17174,11825,716,264060,17588,70,7839,0,8711,156,6778,11413,0,35,0,166,42,16,0,1,0,0,0,1618,13,5,820,0,0,0,1775
"G0500170","1850","Arkansas","050","Chicot","0170","Chicot",142,29886,103362,1324607,78677,997,857,1895,978,4874,2007,14915,50,0,222595,1990,1700,0,12192,5391,12868,8165,26245,0,0,0,39710,200,210,0,0,43,0,0,0,0,0,0,0,0,0,4395
"G0500190","1850","Arkansas","050","Clark","0190","Clark",362,14351,33745,285063,27742,984,154,1886,568,3520,1151,23037,1204,158,122860,3827,104,1713,826,1975,2154,2687,17242,0,0,0,15733,319,16,0,0,0,0,0,0,0,0,0,0,0,0,8446
"G0500290","1850","Arkansas","050","Conway","0290","Conway",387,11885,33216,150252,16207,1284,81,2579,770,4106,2175,17196,3464,41,164192,5235,0,0,499,4294,248,2770,8847,0,0,0,24045,540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford",499,18273,34363,392115,33091,2141,281,2646,985,5394,2924,28328,3718,789,240567,40257,0,200,986,4711,25,7401,10006,0,15,0,75811,2310,86,0,0,0,0,0,40,0,0,0,0,0,0,3467
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden",192,8475,78775,481217,24833,662,131,3029,451,3598,287,10437,0,0,163970,1050,0,0,698,530,10,4576,7067,0,0,0,26843,0,62,0,5,0,0,0,0,0,0,0,0,0,0,1240
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas",399,24065,64625,519871,54098,1095,419,1956,653,3304,714,17812,713,30,209940,2430,1450,582,1556,1306,28797,3308,44749,0,0,0,33879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210
"G0500410","1850","Arkansas","050","Desha","0410","Desha",118,9207,33659,391697,23356,460,174,1136,412,3108,234,10121,0,0,95355,0,0,230,2672,635,495,1746,6932,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,942
"G0500430","1850","Arkansas","050","Drew","0430","Drew",277,11854,23770,133637,36780,775,167,1643,520,2343,728,14277,107,12,120731,1564,67,1436,1516,1608,6937,1372,32757,3,0,0,22171,1080,0,0,1,0,0,0,50,2,0,0,0,0,0,1592
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin",454,15502,26526,205770,27106,1558,197,2007,877,3274,2575,23196,2357,283,213980,23653,55,2585,801,4909,2064,4764,7363,0,2,0,100865,1605,141,0,0,0,0,0,0,0,0,25,0,0,0,10352
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton",222,6055,5578,73991,8004,954,45,972,377,2493,1306,7261,3128,50,111523,7708,182,9247,27,2397,441,2618,4582,0,1,0,21854,965,4,0,1,0,0,0,205,28,0,0,0,8,0,1571
"G0500550","1850","Arkansas","050","Greene","0550","Greene",345,9118,4039,78537,5565,870,196,1318,739,2394,3111,13501,3809,67,106560,9556,0,5123,15,3526,1107,3292,4979,0,0,25,41483,287,7,0,2,0,0,0,20,0,0,405,0,10,0,13468
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead",550,32618,56904,591487,82009,1980,392,3055,966,5037,3157,35975,4284,106,278818,23845,111,1152,2552,7633,28407,4875,37358,0,0,0,70666,335,121,0,0,6,0,0,0,0,0,0,0,0,0,9467
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring",320,9408,19679,189610,22844,1020,65,1564,546,2540,592,12017,1708,121,127565,5602,375,1079,130,1005,4411,2956,12990,0,0,0,26620,207,5,0,0,12,0,0,5,0,3,0,0,0,0,870
"G0500630","1850","Arkansas","050","Independence","0630","Independence",694,23602,60062,521665,36233,2500,348,2841,984,4294,3443,25334,10114,108,388395,29260,0,14330,274,6466,1591,6979,17848,0,0,0,65120,600,78,60,15,0,0,0,840,3,0,0,0,0,0,1432
"G0500650","1850","Arkansas","050","Izard","0650","Izard",332,9467,9115,138777,19444,1199,174,1584,707,3239,2327,13339,7054,183,173479,12090,215,8205,78,4756,1872,3305,5284,110,0,0,46779,1020,0,0,0,0,0,0,520,0,0,0,0,0,0,2997
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson",232,10319,23328,239832,24980,914,106,1549,417,3007,384,14224,415,0,108615,1635,0,100,870,162,8,2153,9871,0,0,0,41375,75,0,0,0,0,0,0,0,0,0,0,0,0,0,1669
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson",317,22245,62167,791332,90927,1503,506,2878,919,5019,1391,16075,81,10,191829,1484,375,1150,4273,3116,7944,4748,16783,25,0,0,26178,200,224,6,0,0,0,0,0,0,0,0,0,0,0,0
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson",526,17742,36017,309572,37254,1679,201,2519,965,3863,3283,20765,6812,103,251070,35154,280,6947,813,6392,1353,6693,13330,0,0,0,48957,295,24,0,12,0,0,0,60,0,0,0,0,0,0,7741
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette",177,27476,56802,454608,57826,646,746,1654,650,3211,498,14919,86,25,160090,3970,1650,0,1977,1316,19576,1752,22857,0,0,0,22125,145,16,0,0,0,0,0,0,0,0,0,0,0,0,8991
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence",601,20188,34623,267579,28648,2520,198,2396,918,4149,3678,22030,11802,194,283457,22978,20,16366,65,8991,653,5472,12278,0,0,0,68858,3123,15,0,6,1,0,0,257,10,6,0,0,0,0,4417
"G0500870","1850","Arkansas","050","Madison","0870","Madison",660,19319,27029,259539,26179,2122,231,2068,1301,4872,5851,21787,23422,1139,342764,35489,0,5845,3,11045,1341,8007,8973,0,7,10,74540,2579,188,1,1,0,0,0,5112,255,0,7550,0,0,0,9980
"G0500890","1850","Arkansas","050","Marion","0890","Marion",255,7776,17477,137795,13715,1372,120,1298,614,2619,1773,9582,5358,156,144302,12585,0,5071,1100,2777,108,2411,5934,0,0,0,40975,240,10,0,0,0,0,0,25,0,0,0,0,0,0,405
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi",170,8711,50544,327415,17141,491,248,910,397,2386,100,8622,0,0,200250,50,0,0,455,247,390,1668,5117,0,0,0,21273,0,340,0,268,0,0,0,0,0,0,0,0,0,0,8305
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe",183,6501,28725,86950,17002,511,72,1056,269,1441,341,13753,225,0,70321,2455,0,375,587,873,433,1623,6440,0,0,0,15561,120,28,0,0,0,0,0,0,0,0,0,0,0,0,3592
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery",215,6659,3239,98230,14356,715,25,1371,453,2557,970,10601,5287,36,85280,3549,0,1650,39,2652,1518,2050,6389,0,3,0,41550,325,2,0,0,0,0,0,140,0,0,0,0,0,0,1143
"G0501010","1850","Arkansas","050","Newton","1010","Newton",230,5555,7814,63732,7113,775,58,860,479,1484,1601,9143,2835,204,94125,6380,50,4856,0,2974,1345,1927,4531,0,0,0,11766,240,2,0,0,0,0,0,280,0,0,317,0,0,0,1825
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita",697,43908,71150,267961,82845,1803,559,3143,953,3311,1494,30242,1194,54,290696,9245,42350,910,3302,2732,56988,6036,75291,0,0,0,42223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3398
"G0501050","1850","Arkansas","050","Perry","1050","Perry",75,2095,2851,25175,2976,282,30,701,149,1366,382,4563,259,0,31770,1530,0,1100,0,766,0,1747,2233,0,0,0,6778,55,4,0,0,0,0,0,0,0,0,0,0,0,0,270
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips",409,26427,92236,1016068,70707,1295,679,2509,956,4619,686,24047,0,0,281889,1839,0,4500,5165,861,0,2789,20895,0,40,0,20340,0,17,0,0,0,0,0,0,0,0,0,0,0,0,2040
"G0501090","1850","Arkansas","050","Pike","1090","Pike",207,5531,8337,80195,11608,464,28,826,206,1678,866,7357,1474,1,58826,2941,558,1385,301,1603,541,722,4878,0,0,0,7250,80,0,0,0,0,0,0,200,2,0,0,0,0,0,2041
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett",264,8046,51354,100612,15630,655,75,1070,456,2093,678,16283,2079,0,98746,4990,0,2380,270,1435,479,1938,7308,0,0,0,23194,100,3,0,0,0,0,0,0,0,0,0,0,0,0,11286
"G0501130","1850","Arkansas","050","Polk","1130","Polk",155,4237,1652,50115,7737,389,52,712,228,1444,726,5524,1892,79,43405,4084,920,1910,22,1562,635,885,5388,0,2,0,7527,440,14,0,16,0,0,0,55,0,0,0,0,0,0,2685
"G0501150","1850","Arkansas","050","Pope","1150","Pope",534,15502,22260,241375,49963,1478,144,2595,980,4018,2717,19129,4596,86,202830,19684,12,3780,1056,5580,505,6332,12586,0,16,0,159403,2990,15,0,7,30,0,0,0,0,0,25,0,0,0,1347
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie",155,6615,52194,180332,16663,626,54,1070,298,1950,504,7508,474,0,54905,2820,0,0,246,643,340,750,6519,0,0,0,18887,75,108,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski",306,12939,49299,426115,31248,1203,145,2375,538,4151,1152,13784,543,230,191085,6413,50,590,478,2624,347,8991,12127,0,10,0,49277,860,385,0,11,60,0,0,5,1,0,0,0,0,0,3866
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph",396,14377,23240,173365,16002,1402,159,1799,575,3002,2473,14977,6792,378,176669,17598,1202,22732,1,4844,943,4142,6856,0,5,0,36530,1272,4,0,2,5,0,0,470,0,0,0,0,0,0,591
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis",348,14442,50219,273067,28588,1191,189,1587,642,3434,845,18822,336,23,181442,5493,313,1380,1540,1894,2019,4430,18795,4,0,0,30463,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7015
"G0501250","1850","Arkansas","050","Saline","1250","Saline",405,17871,28710,216247,36829,1211,127,2028,590,3131,1329,15112,3922,127,186305,8888,10,2240,1287,2300,2361,3468,14190,0,0,0,29355,280,486,21,0,0,0,15,704,2,0,0,0,0,0,397
"G0501270","1850","Arkansas","050","Scott","1270","Scott",365,10104,7685,99175,15873,1197,196,1168,704,2552,1691,15995,1756,141,128460,18156,1441,2522,368,3430,756,3995,10099,0,17,0,33593,927,0,0,0,0,0,0,0,0,0,0,0,0,0,361
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy",246,7440,1812,85201,11075,757,48,1138,457,1477,1927,12887,4878,499,123618,14302,0,7839,0,5308,78,1668,3904,0,0,0,2283,0,2,0,5,0,0,0,0,0,0,80,0,0,0,2373
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier",326,18221,37567,208175,55369,1152,225,2690,702,5584,2045,25579,1637,134,142030,7944,12,745,2254,7275,5806,2421,21073,0,0,0,47684,1971,1,0,0,0,0,0,0,0,0,0,0,0,0,9276
"G0501390","1850","Arkansas","050","Union","1390","Union",679,56841,97435,687300,71572,1557,826,2835,1067,5074,2161,36234,662,218,341406,15535,1377,0,7037,2713,65208,5645,93660,0,0,0,33861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren",380,11092,9403,125912,19732,1040,114,1498,634,2697,1849,11557,3181,127,154565,12631,100,3975,112,4477,290,2163,5100,0,2,0,13555,106,0,0,0,0,0,0,0,0,1,108,0,0,0,1485
"G0501430","1850","Arkansas","050","Washington","1430","Washington",850,38847,108130,740473,67400,3974,557,4071,2123,6628,10916,33257,34472,747,557757,136086,0,19987,1,20613,431,15398,20327,12,0,0,103496,2445,847,2,81,0,0,0,1585,0,22,0,0,0,0,16487
